names,ages,minutes
Riqui Puig,21,487
Yacine Qasmi,30,4
Quini,31,"2,304"
Dani Raba,25,89
Dani Raba,25,26
Uroš Račić,23,"1,206"
Nemanja Radoja,28,"1,214"
Rafinha,28,"1,050"
Antonio Raillo,29,"1,530"
Ivan Rakitić,33,"2,182"
Jonás Ramalho,28,243
Sandro Ramírez,26,"1,462"
Raúl,20,1
Lluís Recasens,19,45
Manolo Reina,36,"1,890"
Karim Rekik,26,"1,098"
Álex Remiro,26,"3,150"
Nico Ribaudo,20,"1,116"
Diego Rico,28,"1,644"
Sergio Rico,27,"1,260"
Luis Rioja,27,"3,111"
Rober,26,"2,010"
Sergi Roberto,29,400
Rubén Rochina,30,743
Enzo Roco,28,"2,552"
Rodri,21,881
Kévin Rodrigues,27,435
Ángel Rodríguez,34,"1,544"
Óscar Rodríguez,23,943
Óscar Rodríguez,23,417
Dani Rodríguez,33,"2,832"
Guido Rodríguez,27,"2,529"
Rodrygo,20,"1,523"
Leo Román,21,180
Iván Romero,20,178
Unai Ropero,19,12
Rubén,20,150
Aitor Ruibal,25,856
Isma Ruiz,20,283
Víctor Ruiz,32,"1,424"
Gerónimo Rulli,29,"2,880"
Franco Russo,26,"1,464"
Mathew Ryan,29,270
Youssouf Sabaly,28,788
Salvi,30,"1,395"
Fede San,24,830
Oihan Sancet,21,"1,422"
Antonio Sánchez,24,"1,616"
Germán Sánchez,34,"2,299"
Manu Sánchez,20,"2,257"
Oier Sanjurjo,35,758
Jesús Santiago,17,82
Sergio Santos,20,11
Alvaro Sanz,20,29
Marcelo Saracchi,23,186
Joan Sastre,24,258
Esteban Saveljich,30,"1,700"
Stefan Savić,30,"2,440"
Valentino Scotta,19,1
Aleksandar Sedlar,29,404
Javier Serrano,18,68
Nicolás Serrano,18,317
Salva Sevilla,37,"1,507"
David Silva,35,"1,720"
Jonathan Silva,27,226
Rui Silva,27,"1,964"
Giuliano Simeone,18,1
Unai Simón,24,"3,060"
Antonio Sivera,24,277
Rubén Sobrino,29,14
Rubén Sobrino,29,"1,861"
Alex Sola,22,41
Augusto Solari,29,714
Roberto Soldado,36,664
Carlos Soler,24,"2,474"
Son,27,"1,971"
David Soria,28,"3,414"
Alberto Soro,22,578
Hugo Sotelo,17,2
Damián Suárez,33,"2,711"
Denis Suárez,27,"2,819"
Luis Suárez,34,"1,835"
Mario Suárez,34,712
Suso,27,384
Mamadou Sylla,27,394
Mamadou Sylla,27,253
Alexander Sørloth,25,"1,763"
Tachi,23,239
Renato Tapia,26,"1,412"
Cristian Tello,29,819
Nahuel Tenaglia,25,"1,073"
Marc Tenas,20,54
Marc-André ter,29,"3,150"
David Timor,31,341
Mircea Ţîrlea,21,15
Raúl de,26,"2,914"
Raúl Torrente,19,"1,282"
Ferrán Torres,21,"1,412"
Óliver Torres,26,"1,008"
Pau Torres,24,"2,855"
Roberto Torres,32,809
Lucas Torró,27,"2,725"
Adama Traoré,25,382
Óscar Trejo,33,"2,007"
Manu Trigueros,29,"2,178"
Kieran Trippier,30,976
Beñat Turrientes,19,207
Samuel Umtiti,27,90
Enes Ünal,24,"2,798"
Myrto Uzuni,26,856
Álvaro Vadillo,26,7
Óscar Valentín,26,"2,569"
Germán Valera,19,51
Martin Valjent,25,"3,181"
Jesús Vallejo,24,341
Manu Vallejo,24,370
Manu Vallejo,24,98
Federico Valverde,23,"1,833"
José Luis García,22,"2,012"
Jesus Vazquez,18,813
Kevin Vázquez,28,"1,334"
Lucas Vázquez,30,"1,833"
Gabriel Veiga,19,108
Unai Vencedor Paris,20,"2,383"
Gonzalo Verdú,32,"1,397"
Mikel Vesga,28,"1,358"
Rúben Vezo,27,"2,420"
Aleix Vidal,31,"1,901"
Nacho Vidal,26,"2,902"
Dídac Vilà,32,203
Tonny Vilhena,26,928
Daniel Villahermosa,20,23
Asier Villalibre,23,548
Gonzalo Villar,23,298
Vitolo,31,221
Daniel Vivian,22,"1,986"
Šime Vrsaljko,29,914
Nikola Vukčević,29,118
Daniel Wass,32,45
Daniel Wass,32,"1,582"
Iñaki Williams,27,"2,777"
Nico Williams,19,"1,337"
Okay Yokuşlu,27,465
Okay Yokuşlu,27,140
Joseba Zaldúa,29,"1,172"
Oier Zarraga,22,"1,166"
Luca Zidane,23,645
Igor Zubeldia,24,"1,648"
Martín Zubimendi,22,"2,591"
